perc_premium_paid_by_cash_credit,age_in_days,Income,application_underwriting_score,no_of_premiums_paid,sourcing_channel,residence_area_type,premium,target,mocked_target
0.225,22272.0,120020.0,98.43,9.0,1,1,7500.0,1.0,0
0.0,17896.0,227150.0,98.83,11.0,1,1,1200.0,1.0,1
0.075,23368.0,166660.0,99.34,10.0,0,1,7500.0,1.0,1
0.412,9495.0,161350.0,99.7,6.0,1,1,7500.0,1.0,1
0.842,18987.0,351130.0,98.63,12.0,1,0,1200.0,1.0,0
0.332,18989.0,361610.0,99.64,7.0,2,1,13800.0,1.0,1
0.194,16072.0,400070.0,99.3,18.0,0,1,22200.0,1.0,1
0.109,20085.0,78150.0,98.12,17.0,2,0,3300.0,1.0,0
0.585,16804.0,60030.0,98.37,5.0,1,1,5700.0,0.0,0
1.0,16065.0,329550.0,99.77,2.0,3,1,18000.0,0.0,0
0.568,20811.0,123060.0,98.07,9.0,0,0,3300.0,1.0,0
0.671,13514.0,135110.0,98.9,6.0,0,0,1200.0,1.0,1
0.997,13877.0,202650.0,99.01,10.0,2,0,26400.0,1.0,0
0.589,19716.0,241240.0,98.86,12.0,2,0,11700.0,1.0,1
0.004,15708.0,195970.0,99.64,12.0,2,0,22200.0,1.0,1
0.07,25200.0,67050.0,98.14,14.0,0,1,5700.0,1.0,1
0.052,10961.0,180040.0,99.83,12.0,2,0,11700.0,1.0,0
0.034,23733.0,266270.0,99.7,7.0,2,1,13800.0,1.0,0
0.046,15706.0,60050.0,99.56,11.0,0,1,3300.0,1.0,1
0.163,22276.0,900030.0,99.66,12.0,0,0,39000.0,1.0,1
0.398,20086.0,299900.0,99.63,8.0,1,1,20100.0,1.0,0
0.056,19350.0,80090.0,99.78,9.0,0,1,3300.0,1.0,0
0.725,26295.0,216070.0,98.6,14.0,0,1,11700.0,0.0,1
0.966,28119.0,191160.0,98.57,28.0,1,1,9600.0,1.0,0
0.0,11695.0,162550.0,98.34,10.0,1,1,5400.0,1.0,0
0.0,15707.0,90090.0,99.79,7.0,1,0,7500.0,1.0,1
0.738,13148.0,77200.0,98.76,17.0,0,0,3300.0,1.0,1
0.452,21177.0,84030.0,98.92,12.0,0,1,5700.0,1.0,0
0.033,13877.0,184500.0,99.41,8.0,1,1,13800.0,1.0,0
0.503,18257.0,112540.0,99.74,13.0,0,1,5400.0,0.0,1
0.465,17168.0,212610.0,99.62,8.0,0,1,1200.0,1.0,0
0.133,21178.0,138080.0,99.3,8.0,0,1,13800.0,1.0,1
0.538,14971.0,162070.0,99.59,5.0,0,1,1200.0,1.0,1
0.012,22641.0,250070.0,99.64,8.0,2,1,22200.0,1.0,0
0.476,8769.0,42940.0,99.83,4.0,0,1,3300.0,1.0,0
0.028,22278.0,129110.0,99.1,6.0,0,0,9600.0,1.0,1
0.197,22271.0,141140.0,99.31,9.0,0,1,15900.0,1.0,0
0.196,23006.0,309690.0,99.36,11.0,0,1,18000.0,1.0,0
1.0,9139.0,63680.0,99.22,6.0,0,1,5400.0,0.0,0
0.003,19717.0,130930.0,99.39,7.0,3,1,9600.0,1.0,0
0.914,20089.0,129100.0,97.87,19.0,1,1,1200.0,0.0,1
0.4,19350.0,412970.0,98.88,12.0,2,1,22200.0,1.0,0
1.0,18627.0,147100.0,99.86,4.0,3,0,9600.0,1.0,0
0.027,19721.0,212600.0,99.89,7.0,1,0,13800.0,1.0,1
0.064,18992.0,180070.0,99.88,6.0,1,0,7500.0,1.0,1
0.0,17163.0,114040.0,98.9,8.0,2,0,9600.0,1.0,1
0.005,25920.0,46400.0,99.54,13.0,0,1,5700.0,1.0,0
0.914,17526.0,44270.0,98.92,9.0,0,0,3300.0,1.0,1
0.0,16073.0,222810.0,99.77,17.0,0,0,9600.0,1.0,0
0.031,20818.0,228600.0,99.19,10.0,0,1,13800.0,1.0,0
0.0,17161.0,142080.0,99.0,8.0,2,1,7500.0,1.0,1
0.012,23001.0,254420.0,99.52,15.0,1,0,7500.0,1.0,0
0.342,14242.0,312560.0,98.64,10.0,3,1,13800.0,1.0,0
0.008,23009.0,45120.0,99.89,9.0,0,1,3300.0,1.0,0
0.25,26650.0,69030.0,95.47,13.0,0,0,3300.0,1.0,1
0.497,18626.0,272610.0,99.32,12.0,1,1,11700.0,1.0,1
0.02,20816.0,403370.0,99.58,14.0,0,0,20100.0,1.0,1
0.0,15336.0,300030.0,99.22,17.0,3,0,1200.0,1.0,0
0.113,18628.0,509070.0,99.26,22.0,2,1,24300.0,1.0,0
0.717,13511.0,270100.0,99.08,10.0,1,1,1200.0,1.0,1
0.016,14979.0,292810.0,98.86,20.0,3,0,7500.0,1.0,1
0.57,12421.0,127530.0,99.65,6.0,0,0,5400.0,1.0,1
0.428,22640.0,465000.0,99.27,15.0,0,1,20100.0,1.0,0
1.0,15336.0,173130.0,98.76,6.0,0,1,18000.0,1.0,0
0.041,16072.0,209070.0,99.11,11.0,2,1,5400.0,1.0,1
0.374,12421.0,135030.0,99.53,11.0,1,1,13800.0,1.0,1
0.031,21545.0,57660.0,98.92,9.0,0,1,1200.0,1.0,1
0.108,23365.0,510070.0,98.62,12.0,0,1,5400.0,1.0,0
0.119,19359.0,240130.0,98.71,8.0,1,0,11700.0,1.0,1
0.154,23369.0,180060.0,98.79,15.0,0,0,9600.0,1.0,1
0.798,26656.0,81480.0,97.56,16.0,0,1,3300.0,1.0,1
0.474,11323.0,66820.0,98.49,7.0,1,1,3300.0,1.0,1
0.745,17893.0,133650.0,96.88,5.0,0,1,9600.0,1.0,0
0.014,18985.0,141240.0,98.82,7.0,1,1,7500.0,1.0,1
0.686,14974.0,326960.0,98.86,15.0,1,1,3300.0,1.0,0
0.723,18988.0,183660.0,98.76,5.0,2,0,9600.0,1.0,0
0.42,14605.0,171140.0,98.47,11.0,2,1,3300.0,1.0,1
0.0,18257.0,210100.0,98.52,10.0,1,1,9600.0,1.0,1
0.682,13519.0,177090.0,98.89,12.0,3,1,7500.0,1.0,0
0.664,13512.0,300480.0,98.72,14.0,0,1,28500.0,1.0,1
0.176,13877.0,80120.0,98.66,19.0,0,1,3300.0,1.0,0
0.501,14972.0,208680.0,99.02,13.0,2,0,22200.0,1.0,1
0.0,16065.0,42580.0,99.81,4.0,2,1,3300.0,1.0,0
0.246,26294.0,165130.0,99.87,5.0,0,1,9600.0,1.0,0
0.597,15340.0,91520.0,99.8,4.0,2,0,5400.0,1.0,0
0.059,19719.0,173650.0,99.23,12.0,2,1,9600.0,1.0,0
0.165,23001.0,111100.0,99.25,9.0,2,1,5400.0,1.0,1
0.559,13883.0,495070.0,99.1,11.0,1,1,22200.0,1.0,1
0.341,16072.0,75100.0,99.27,8.0,0,1,1200.0,1.0,1
0.941,10233.0,120070.0,99.16,9.0,2,1,7500.0,1.0,0
0.018,25925.0,305600.0,99.89,11.0,0,1,18000.0,1.0,0
0.111,18255.0,159110.0,99.74,9.0,2,0,11700.0,1.0,0
0.155,16439.0,290070.0,99.39,8.0,3,0,34800.0,1.0,0
0.358,17528.0,216130.0,98.83,17.0,1,0,15900.0,1.0,1
0.002,21178.0,237070.0,99.39,25.0,0,1,11700.0,1.0,0
0.18,29578.0,41230.0,98.86,15.0,0,1,1200.0,1.0,1
0.44,8771.0,75110.0,99.84,5.0,0,0,3300.0,1.0,1
0.03,18989.0,82650.0,99.43,6.0,0,1,7500.0,1.0,1
0.154,18260.0,512170.0,99.36,17.0,2,0,41100.0,1.0,0
0.522,23736.0,235550.0,98.63,11.0,1,0,11700.0,1.0,1
0.032,26657.0,180110.0,99.37,12.0,0,0,15900.0,1.0,0
0.7,12780.0,105100.0,99.09,9.0,0,0,1200.0,1.0,1
0.382,18262.0,150080.0,99.19,10.0,0,1,7500.0,1.0,0
0.042,32125.0,190040.0,99.59,6.0,0,1,18000.0,1.0,0
0.984,13883.0,81330.0,98.42,6.0,0,1,5400.0,1.0,1
0.321,20448.0,97650.0,97.77,12.0,0,1,3300.0,1.0,1
0.057,22638.0,104210.0,99.42,10.0,2,0,7500.0,1.0,1
0.349,17530.0,231380.0,99.81,4.0,0,1,13800.0,1.0,1
0.498,18263.0,60050.0,96.7,8.0,0,0,5700.0,1.0,0
0.704,20081.0,186200.0,99.56,6.0,0,1,15900.0,1.0,0
0.076,9864.0,125730.0,98.44,10.0,0,1,5700.0,1.0,1
0.0,18258.0,160200.0,99.7,6.0,0,1,1200.0,1.0,0
0.021,18985.0,87570.0,98.59,7.0,0,1,5400.0,1.0,0
0.515,22636.0,139810.0,99.67,8.0,1,1,15900.0,1.0,0
1.0,16072.0,135060.0,98.86,6.0,1,1,9600.0,0.0,0
0.093,21546.0,334600.0,99.0,18.0,0,0,15900.0,1.0,1
0.001,20085.0,273120.0,99.25,19.0,1,1,15900.0,1.0,0
0.02,29213.0,120030.0,99.88,9.0,0,1,11700.0,1.0,0
0.029,24830.0,59490.0,98.84,8.0,1,0,5700.0,1.0,0
0.15,23004.0,45070.0,99.0,14.0,0,1,3300.0,1.0,1
0.662,15705.0,105070.0,98.78,9.0,2,1,5400.0,1.0,1
0.066,8768.0,56460.0,99.83,4.0,0,1,3300.0,1.0,0
0.438,13518.0,125150.0,99.77,12.0,0,1,7500.0,1.0,0
0.01,15702.0,153820.0,99.37,10.0,2,1,13800.0,1.0,1
0.102,17168.0,582110.0,99.43,15.0,3,1,60000.0,1.0,0
0.005,19716.0,300030.0,98.93,11.0,1,0,5400.0,1.0,0
0.027,18991.0,310040.0,99.3,12.0,3,1,22200.0,1.0,0
0.783,22637.0,108050.0,98.95,10.0,0,1,3300.0,1.0,1
0.008,21906.0,215030.0,99.32,7.0,0,0,15900.0,1.0,1
0.019,28476.0,72150.0,99.84,11.0,0,1,3300.0,1.0,0
0.245,13880.0,201110.0,99.47,9.0,0,1,26400.0,1.0,0
0.112,21176.0,230190.0,99.07,8.0,0,1,9600.0,1.0,1
0.022,26650.0,416520.0,99.49,30.0,2,0,20100.0,1.0,0
0.501,20447.0,552150.0,99.26,24.0,1,0,57900.0,1.0,0
0.162,13882.0,525150.0,99.54,20.0,0,0,22200.0,1.0,0
0.95,17893.0,255290.0,98.71,18.0,0,0,20100.0,0.0,0
0.13,18255.0,208630.0,97.75,11.0,1,1,13800.0,1.0,0
0.0,13516.0,150140.0,97.57,9.0,3,1,7500.0,1.0,1
0.003,19356.0,385050.0,99.39,21.0,3,1,20100.0,1.0,0
0.016,28478.0,105650.0,99.89,7.0,0,0,9600.0,1.0,1
0.334,19356.0,514540.0,98.93,23.0,1,1,18000.0,1.0,0
0.38,16437.0,266830.0,98.93,17.0,0,1,18000.0,1.0,1
0.145,19359.0,312580.0,99.36,14.0,0,0,30600.0,1.0,0
0.226,22275.0,604480.0,98.31,16.0,0,0,15900.0,1.0,1
0.178,15700.0,162660.0,98.22,15.0,0,0,13800.0,1.0,0
0.622,13511.0,66050.0,99.2,7.0,0,0,5700.0,1.0,0
0.383,23002.0,174060.0,99.13,5.0,0,1,13800.0,1.0,0
0.118,26293.0,165050.0,99.43,9.0,2,1,1200.0,1.0,0
0.093,29579.0,52590.0,98.82,10.0,0,0,3300.0,1.0,1
0.929,19350.0,183100.0,98.93,9.0,0,0,7500.0,1.0,0
0.0,12425.0,390030.0,99.44,11.0,1,1,24300.0,1.0,1
0.909,10958.0,149100.0,99.13,10.0,0,0,5400.0,1.0,0
0.04,18994.0,62970.0,98.42,9.0,0,1,5700.0,1.0,0
0.259,19356.0,150060.0,99.56,12.0,0,0,11700.0,1.0,0
0.007,25924.0,221700.0,99.53,14.0,1,0,18000.0,1.0,0
0.304,23366.0,105110.0,97.37,6.0,0,0,5400.0,1.0,0
0.005,20454.0,180110.0,99.29,16.0,0,1,22200.0,1.0,1
0.411,10598.0,27870.0,99.12,14.0,0,0,1200.0,1.0,0
0.312,15341.0,177630.0,99.11,6.0,0,1,9600.0,1.0,1
0.021,28477.0,120110.0,98.7,11.0,1,1,5400.0,1.0,0
0.337,14607.0,89030.0,97.4,14.0,1,1,5400.0,1.0,1
0.06,18257.0,37580.0,98.75,8.0,0,0,3300.0,1.0,0
0.478,28120.0,144100.0,99.25,14.0,0,1,5400.0,1.0,0
0.097,10958.0,120100.0,99.62,9.0,3,0,11700.0,1.0,1
0.02,20086.0,255050.0,98.99,33.0,2,0,28500.0,1.0,1
0.354,24098.0,174140.0,98.34,19.0,0,0,1200.0,1.0,1
0.963,9134.0,66090.0,99.19,12.0,0,1,5400.0,1.0,1
0.041,19359.0,270080.0,99.38,6.0,0,1,13800.0,1.0,0
0.3,20451.0,219580.0,99.86,3.0,0,0,11700.0,1.0,0
0.138,25190.0,261600.0,98.9,13.0,0,1,15900.0,1.0,1
0.018,22637.0,249070.0,99.54,17.0,0,1,13800.0,1.0,1
0.389,14980.0,216060.0,98.95,13.0,3,1,9600.0,1.0,1
0.085,18628.0,177060.0,98.7,6.0,1,1,11700.0,1.0,1
0.066,16435.0,334860.0,99.21,6.0,2,1,24300.0,1.0,0
0.067,18265.0,87540.0,98.07,8.0,1,1,3300.0,1.0,1
0.806,32865.0,93740.0,98.59,10.0,0,0,3300.0,1.0,1
0.009,18261.0,269970.0,98.88,23.0,0,0,1200.0,1.0,1
0.076,23009.0,205500.0,99.17,9.0,0,1,3300.0,1.0,0
0.033,23367.0,158530.0,99.56,13.0,0,1,7500.0,1.0,0
0.0,20083.0,456120.0,99.32,12.0,0,1,3300.0,1.0,0
0.608,23374.0,271140.0,98.38,11.0,0,1,28500.0,1.0,1
0.036,21912.0,450140.0,99.88,22.0,0,0,20100.0,1.0,1
0.053,28118.0,85350.0,99.83,9.0,0,0,3300.0,1.0,0
0.034,12058.0,216100.0,99.88,7.0,2,0,11700.0,1.0,1
0.443,15339.0,274610.0,99.29,9.0,1,1,24300.0,1.0,0
0.065,14244.0,340140.0,99.32,7.0,3,1,26400.0,1.0,1
0.0,17526.0,281220.0,99.11,11.0,3,1,1200.0,1.0,0
0.796,17531.0,774150.0,99.71,11.0,1,1,45300.0,0.0,1
0.985,20450.0,300150.0,99.71,13.0,0,1,20100.0,0.0,1
1.0,18259.0,365110.0,99.43,6.0,0,1,20100.0,1.0,0
0.238,23737.0,450050.0,99.59,19.0,0,1,26400.0,1.0,1
1.0,10959.0,62470.0,99.56,3.0,0,1,3300.0,0.0,0
0.667,18630.0,151560.0,98.65,13.0,0,1,13800.0,0.0,1
0.901,12057.0,36440.0,99.58,5.0,0,1,5700.0,1.0,0
0.37,21181.0,212740.0,99.18,22.0,0,1,15900.0,1.0,1
0.49,18264.0,240100.0,98.86,16.0,3,1,11700.0,1.0,1
0.652,24830.0,285120.0,97.8,20.0,0,1,18000.0,1.0,0
0.004,23740.0,290020.0,99.69,18.0,0,1,18000.0,1.0,1
0.377,25558.0,337590.0,99.22,18.0,2,1,13800.0,1.0,0
0.163,17160.0,193490.0,98.78,29.0,1,0,7500.0,1.0,0
0.902,18620.0,175020.0,97.2,21.0,2,1,13800.0,1.0,1
0.544,18258.0,199590.0,98.75,10.0,2,1,9600.0,1.0,0
0.676,12418.0,270090.0,99.62,17.0,1,0,20100.0,0.0,1
1.0,17893.0,215400.0,97.09,12.0,0,1,9600.0,1.0,1
0.555,19353.0,287910.0,99.06,11.0,1,0,24300.0,0.0,0
0.097,18264.0,245570.0,99.31,13.0,0,1,20100.0,1.0,0
0.013,25559.0,174120.0,99.89,19.0,0,1,3300.0,1.0,1
0.936,16075.0,187560.0,99.54,5.0,1,1,11700.0,1.0,0
0.9,13515.0,184960.0,98.75,12.0,3,1,13800.0,1.0,1
0.021,18624.0,192330.0,99.47,12.0,2,1,13800.0,1.0,1
0.897,18991.0,73470.0,98.09,13.0,0,1,1200.0,1.0,1
0.0,19355.0,278280.0,99.36,10.0,2,0,18000.0,1.0,0
0.878,12424.0,210090.0,99.86,4.0,2,1,7500.0,1.0,1
0.025,16432.0,250070.0,99.36,12.0,3,1,13800.0,1.0,0
0.981,18992.0,33210.0,96.76,8.0,0,1,3300.0,1.0,1
0.417,18624.0,214750.0,98.46,12.0,0,1,13800.0,1.0,0
0.022,14240.0,94960.0,98.92,5.0,1,0,5700.0,1.0,1
0.676,20812.0,400770.0,99.19,10.0,0,1,22200.0,1.0,1
0.723,19724.0,379410.0,99.3,15.0,3,1,15900.0,1.0,1
0.054,17534.0,241570.0,99.36,9.0,0,0,11700.0,1.0,0
0.541,18629.0,604430.0,99.35,16.0,3,0,47400.0,1.0,1
0.004,13154.0,125080.0,98.08,11.0,1,0,9600.0,1.0,1
0.376,21181.0,331650.0,98.88,27.0,0,0,9600.0,1.0,0
0.713,18257.0,50890.0,98.43,12.0,0,0,5700.0,1.0,0
0.575,28478.0,92370.0,99.51,6.0,0,1,7500.0,1.0,1
0.034,27750.0,125110.0,99.87,6.0,1,0,3300.0,1.0,0
0.516,21184.0,260250.0,99.54,8.0,0,0,24300.0,1.0,1
0.095,16798.0,201070.0,99.71,5.0,0,0,9600.0,1.0,0
0.04,25565.0,39210.0,99.41,9.0,0,1,3300.0,1.0,0
0.211,26660.0,108130.0,99.1,12.0,1,1,3300.0,1.0,1
0.305,28114.0,136170.0,98.24,10.0,0,1,18000.0,1.0,0
0.487,25197.0,202420.0,99.21,11.0,3,1,9600.0,1.0,0
0.042,18625.0,159720.0,99.31,8.0,0,0,3300.0,1.0,1
0.005,28117.0,150140.0,98.73,10.0,1,0,7500.0,1.0,1
0.773,15338.0,304050.0,99.58,9.0,2,1,13800.0,1.0,0
0.239,21540.0,553550.0,99.64,11.0,0,1,47400.0,1.0,0
0.013,14609.0,249350.0,99.36,8.0,3,1,18000.0,1.0,0
0.412,16802.0,412550.0,99.14,10.0,0,1,20100.0,1.0,0
0.254,18990.0,675110.0,99.4,13.0,1,1,32700.0,1.0,1
0.221,19360.0,137540.0,99.33,16.0,0,1,9600.0,0.0,0
0.128,23740.0,170070.0,99.17,16.0,0,0,9600.0,1.0,0
0.053,19350.0,229020.0,99.36,7.0,3,1,15900.0,1.0,0
0.037,26651.0,248310.0,99.75,12.0,1,1,20100.0,1.0,0
0.003,16798.0,180150.0,98.89,20.0,1,1,18000.0,1.0,0
0.501,13876.0,218760.0,99.13,6.0,0,1,3300.0,1.0,0
0.043,22637.0,129970.0,99.07,11.0,1,1,13800.0,1.0,1
0.031,19356.0,195850.0,99.29,15.0,3,1,22200.0,1.0,0
0.797,12784.0,93050.0,99.89,10.0,3,1,5400.0,1.0,1
0.056,14242.0,250060.0,99.69,6.0,2,0,3300.0,1.0,1
0.032,12060.0,179330.0,99.06,18.0,0,0,9600.0,1.0,1
0.037,10964.0,48070.0,99.88,4.0,0,1,5400.0,1.0,1
0.057,23006.0,210050.0,99.35,10.0,0,1,11700.0,1.0,0
0.026,28842.0,189630.0,99.89,5.0,0,0,20100.0,1.0,1
0.1,22644.0,123490.0,99.76,6.0,0,1,7500.0,1.0,0
0.047,15344.0,926040.0,99.35,16.0,0,0,43200.0,1.0,1
0.023,18987.0,387610.0,99.34,14.0,0,1,22200.0,1.0,0
0.026,24465.0,222050.0,99.85,9.0,0,0,24300.0,1.0,1
0.603,17161.0,162520.0,99.01,12.0,1,1,11700.0,1.0,0
0.027,23000.0,236380.0,99.71,8.0,0,0,11700.0,1.0,1
0.01,24466.0,195100.0,92.7,19.0,1,1,1200.0,1.0,1
1.0,11685.0,42060.0,99.22,3.0,0,1,5700.0,1.0,1
0.017,26651.0,75100.0,99.88,7.0,0,0,5700.0,1.0,1
0.029,21550.0,80730.0,99.2,10.0,0,1,5400.0,1.0,1
0.038,25196.0,227070.0,99.33,22.0,1,0,11700.0,1.0,0
0.786,11328.0,60060.0,99.62,4.0,2,0,7500.0,1.0,0
0.093,25191.0,297340.0,98.41,13.0,0,1,18000.0,1.0,0
0.0,19718.0,430120.0,99.49,9.0,3,0,3300.0,1.0,0
0.934,20086.0,564200.0,99.18,10.0,1,1,15900.0,1.0,0
0.2,9139.0,105100.0,99.73,7.0,0,1,5400.0,1.0,1
0.084,21176.0,727600.0,99.1,12.0,1,1,36900.0,1.0,1
0.027,14974.0,137640.0,98.32,10.0,0,0,1200.0,1.0,1
0.252,17899.0,960030.0,96.07,14.0,4,1,5400.0,1.0,1
0.499,24099.0,80790.0,97.66,15.0,2,0,7500.0,1.0,1
0.665,24101.0,60120.0,99.64,4.0,0,0,5400.0,1.0,1
0.753,15710.0,258860.0,98.74,18.0,0,1,20100.0,0.0,1
0.387,10234.0,120090.0,99.61,8.0,1,1,9600.0,1.0,0
0.697,15705.0,30070.0,97.75,10.0,1,0,3300.0,1.0,0
0.509,22270.0,339040.0,98.92,13.0,0,0,13800.0,1.0,0
0.298,31401.0,90070.0,99.51,11.0,0,0,9600.0,1.0,1
0.018,18995.0,156140.0,99.25,16.0,2,0,9600.0,1.0,0
0.642,25190.0,45080.0,98.54,9.0,0,1,1200.0,1.0,1
0.308,19359.0,310940.0,97.88,10.0,0,0,13800.0,1.0,1
0.029,31769.0,2910090.0,99.86,7.0,0,0,60000.0,1.0,1
0.275,21908.0,180090.0,99.42,8.0,0,1,9600.0,1.0,0
0.749,14607.0,133160.0,99.68,11.0,1,0,5400.0,1.0,1
0.135,18622.0,390120.0,99.16,14.0,3,0,26400.0,1.0,1
0.0,15337.0,281440.0,99.19,8.0,3,1,11700.0,1.0,1
0.03,12056.0,112620.0,98.72,21.0,0,1,3300.0,1.0,0
0.108,26655.0,134570.0,98.48,19.0,0,1,13800.0,1.0,1
0.508,12419.0,36080.0,97.08,6.0,0,1,5700.0,1.0,0
0.892,15707.0,73320.0,94.63,12.0,2,1,7500.0,1.0,0
0.401,17525.0,175060.0,98.68,14.0,3,1,9600.0,1.0,1
0.111,18995.0,625040.0,98.99,24.0,0,1,26400.0,1.0,1
0.654,14249.0,150080.0,98.28,7.0,2,0,3300.0,1.0,1
0.115,24103.0,328940.0,99.48,6.0,0,1,22200.0,1.0,0
0.03,22275.0,76540.0,99.87,7.0,0,1,7500.0,1.0,0
0.303,23003.0,474770.0,99.38,11.0,0,1,41100.0,1.0,1
0.113,23371.0,25100.0,99.48,6.0,0,1,1200.0,1.0,1
0.367,25921.0,102040.0,98.48,13.0,1,1,3300.0,1.0,1
0.022,24098.0,315090.0,99.89,12.0,0,1,13800.0,1.0,0
0.123,17897.0,250100.0,99.55,12.0,0,1,15900.0,1.0,0
0.118,24826.0,426310.0,99.03,9.0,0,1,22200.0,1.0,0
0.128,23370.0,211400.0,99.48,10.0,0,1,13800.0,1.0,0
0.0,15345.0,374810.0,99.33,13.0,3,1,26400.0,1.0,0
0.697,16795.0,101020.0,99.75,9.0,1,1,3300.0,1.0,0
0.304,12783.0,345120.0,99.19,12.0,0,0,3300.0,1.0,0
0.0,14240.0,210150.0,98.98,8.0,1,1,13800.0,1.0,1
0.402,21179.0,151570.0,99.1,9.0,0,1,1200.0,1.0,0
0.0,24831.0,100890.0,99.87,6.0,0,1,3300.0,1.0,1
